NOMBRE,numhogares,area,densidadPoblacional,estrato_asignado,personasReal,num_ferreterias,num_tiendasPinturas,num_construcciones,num_industriales,num_clientes,primary,secondary,tertiary,trunk,valResidencial,valComercial
CARVAJAL,29915,4.440226,19746.742620758494,3,65539,40,2,11.0,5,13,6.0,1.0,28.0,2.0,2084247.848169014,644450.5726760563
CASA BLANCA SUBA,19297,4.258527,12946.730172193344,4,41891,7,0,6.0,0,6,3.0,6.0,15.0,1.0,2706860.2315384615,526369.2249230769
CASTILLA,46812,5.09476,26365.71693269163,3,101282,17,0,2.0,9,16,5.0,1.0,18.0,5.0,2193901.019158416,770115.6313861386
CHAPINERO,12865,1.612883,14253.358737118562,4,20356,26,0,13.0,0,9,4.0,13.0,13.0,0.0,3392901.6719266055,5241812.712844037
CHICO LAGO,15679,4.277531,7709.821389956029,6,27839,43,1,8.0,0,34,6.0,14.0,10.0,3.0,3386258.064690909,5947541.413127272
CIUDAD JARDIN,8084,1.348798,17739.498427488772,3,18329,7,0,1.0,0,4,3.0,2.0,4.0,0.0,2183899.9366666665,1290701.6425833334
CIUDAD MONTES,33388,4.510945,21270.044303355502,3,74479,18,2,13.0,4,8,4.0,6.0,21.0,3.0,2555690.0901142857,843216.7270857143
CIUDAD SALITRE OCCIDENTAL,16185,2.28526,18216.745578183665,4,33436,2,0,,0,0,2.0,6.0,5.0,1.0,2959604.6730882353,4359162.4026470585
CIUDAD SALITRE ORIENTAL,7827,1.827828,11345.159391365052,4,16424,2,0,4.0,2,2,2.0,2.0,4.0,0.0,2959128.209512195,3081665.150487805
CIUDAD USME,6579,9.324857,2199.175815779266,2,13506,2,0,,0,2,0.0,3.0,6.0,2.0,1417416.6441666668,332846.1875
COMUNEROS,27650,4.989959,17754.4544955179,2,60105,10,0,1.0,15,8,0.0,1.0,25.0,4.0,1269407.488712121,59393.205
CORABASTOS,18148,1.868218,29580.059714658568,2,37183,10,0,3.0,0,7,4.0,1.0,6.0,2.0,1623688.2006060604,433877.88060606056
COUNTRY CLUB,8957,2.892254,8213.317364242559,5,19285,1,0,1.0,0,1,3.0,2.0,1.0,1.0,3648511.827272727,1653095.6139999998
DANUBIO,14699,2.922575,16471.433581687383,2,32059,0,0,3.0,2,0,2.0,0.0,20.0,0.0,1298218.335,218717.41222222222
DIANA TURBAY,22401,2.140136,31671.81898720455,2,46203,1,0,,0,1,0.0,7.0,19.0,0.0,1523858.425625,0.0
